Year,Pick,Tm,Player,Modified WS,Expected Pick Value,Delta WS
1995,4,WAS/WSB,Rasheed Wallace,105.1,60.0890666667,45.0109333333
1999,7,WAS/WSB,Richard Hamilton,62.8,34.0098166667,28.7901833333
2003,38,WAS/WSB,Steve Blake,25.3,5.2843166667,20.0156833333
1992,6,WAS/WSB,Tom Gugliotta,40.2,23.838530119,16.361469881
2005,49,WAS/WSB,Andray Blatche,16,4.02,11.98
2008,18,WAS/WSB,JaVale McGee,27.7794,20.8369475,6.9424525
1993,30,WAS/WSB,Gheorghe Muresan,19,14.1725333333,4.8274666667
1992,32,WAS/WSB,Brent Price,12,7.317525,4.682475
1999,35,WAS/WSB,Calvin Booth,8,4.9488992857,3.0511007143
1994,32,WAS/WSB,Jim McIlvaine,9.4,7.317525,2.082475
1990,35,WAS/WSB,Greg Foster,5.6,4.9488992857,0.6511007143
1994,5,WAS/WSB,Juwan Howard,59.4,59.0318266667,0.3681733333
1993,6,WAS/WSB,Calbert Cheaney,23.1,23.838530119,-0.738530119
1998,43,WAS/WSB,Jahidi White,10.4,11.234075,-0.834075
1997,48,WAS/WSB,Predrag Drobnjak,5.6,7.4612,-1.8612
2007,16,WAS/WSB,Nick Young,13.915,16.8012475,-2.8862475
1996,55,WAS/WSB,Ronnie Henderson,0,3.6973133333,-3.6973133333
2002,39,WAS/WSB,Juan Carlos Navarro,1.4,5.4598025,-4.0598025
2000,35,WAS/WSB,Mike Smith,-0.1,4.9488992857,-5.0488992857
2002,38,WAS/WSB,Rod Grizzard,0,5.2843166667,-5.2843166667
1993,38,WAS/WSB,Conrad McRae,0,5.2843166667,-5.2843166667
2008,47,WAS/WSB,Bill Walker,4.509,9.7957542857,-5.2867542857
2007,47,WAS/WSB,Dominic McGuire,4.1,9.7957542857,-5.6957542857
2009,32,WAS/WSB,Jermaine Taylor,0.2505,7.317525,-7.067025
2004,32,WAS/WSB,Peter John Ramos,0,7.317525,-7.317525
2006,48,WAS/WSB,Vladimir Veremeenko,0,7.4612,-7.4612
1995,32,WAS/WSB,Terrence Rencher,-0.2,7.317525,-7.517525
2002,11,WAS/WSB,Jared Jeffries,13.1,21.2969092857,-8.1969092857
1990,37,WAS/WSB,A.J. English,1.1,13.372155,-12.272155
1997,45,WAS/WSB,God Shammgod,-0.1,13.12512,-13.22512
1991,19,WAS/WSB,LaBradford Smith,1.5,14.911735,-13.411735
2004,5,WAS/WSB,Devin Harris,41.3426666667,59.0318266667,-17.68916
2002,17,WAS/WSB,Juan Dixon,6.1,24.5110622222,-18.4110622222
2006,18,WAS/WSB,Oleksiy Pecherov,0.5,20.8369475,-20.3369475
2003,10,WAS/WSB,Jarvis Hayes,10.2,44.26679125,-34.06679125
2001,1,WAS/WSB,Kwame Brown,20.8,77.4647361905,-56.6647361905
2006,47,UTA,Paul Millsap,65.9172857143,9.7957542857,56.1215314286
1999,24,UTA,Andrei Kirilenko,74.3,26.1274083333,48.1725916667
1993,45,UTA,Bryon Russell,47.4,13.12512,34.27488
2003,47,UTA,Mo Williams,38.1888,9.7957542857,28.3930457143
2005,3,UTA,Deron Williams,84.592,60.7732833333,23.8187166667
1996,54,UTA,Shandon Anderson,23.6,2.71,20.89
1995,28,UTA,Greg Ostertag,33.8,13.18575,20.61425
1998,29,UTA,Nazr Mohammed,33.5,14.0750425,19.4249575
2006,14,UTA,Ronnie Brewer,33.0707142857,15.9775807143,17.0931335714
2001,52,UTA,Jarron Collins,15.7,3.74055,11.95945
2005,34,UTA,C.J. Miles,13.7,8.74594,4.95406
2004,14,UTA,Kris Humphries,19.9,15.9775807143,3.9224192857
1997,27,UTA,Jacque Vaughn,15.4,12.8520675,2.5479325
1991,48,UTA,Isaac Austin,9.2,7.4612,1.7388
1999,28,UTA,Scott Padgett,13.2,13.18575,0.01425
2008,53,UTA,Tadija Dragicevic,0,1.132675,-1.132675
1991,21,UTA,Eric Murdock,25.6,26.8868296429,-1.2868296429
1999,58,UTA,Eddie Lucas,0,1.325,-1.325
2000,50,UTA,Kaniel Dickens,0.1,1.8817125,-1.7817125
2009,50,UTA,Goran Suton,0,1.8817125,-1.8817125
2002,46,UTA,Jamal Sampson,1.4,3.3440125,-1.9440125
2006,46,UTA,Dee Brown,0.1,3.3440125,-3.2440125
2005,51,UTA,Robert Whaley,0,3.405,-3.405
2008,44,UTA,Ante Tomic,0,3.6122125,-3.6122125
2007,55,UTA,Herbert Hill,0,3.6973133333,-3.6973133333
1997,56,UTA,Nate Erdmann,0,4.2750333333,-4.2750333333
1990,33,UTA,Walter Palmer,-0.1,4.9527125,-5.0527125
2000,23,UTA,DeShawn Stevenson,12.1,18.6894933333,-6.5894933333
2008,23,UTA,Kosta Koufos,11.6232,18.6894933333,-7.0662933333
1998,57,UTA,Torraye Braggs,0.3,7.7666666667,-7.4666666667
2003,19,UTA,Sasha Pavlovic,7,14.911735,-7.911735
1994,47,UTA,Jamie Watson,1.2,9.7957542857,-8.5957542857
2009,20,UTA,Eric Maynor,4.509,13.1228166667,-8.6138166667
1996,25,UTA,Martin Muursepp,2,13.38046,-11.38046
2004,16,UTA,Kirk Snyder,4.5,16.8012475,-12.3012475
2007,25,UTA,Morris Almond,0,13.38046,-13.38046
1999,19,UTA,Quincy Lewis,0.8,14.911735,-14.111735
2002,19,UTA,Ryan Humphrey,-0.4,14.911735,-15.311735
1993,18,UTA,Luther Wright,-0.1,20.8369475,-20.9369475
2001,24,UTA,Raul Lopez,2.1,26.1274083333,-24.0274083333
2004,21,UTA,Pavel Podkolzin,-0.1,26.8868296429,-26.9868296429
1997,9,TOR,Tracy McGrady,97.3,45.0857644444,52.2142355556
2003,4,TOR,Chris Bosh,97.5936,60.0890666667,37.5045333333
1998,4,TOR,Antawn Jamison,87.8,60.0890666667,27.7109333333
1995,7,TOR,Damon Stoudamire,55.4,34.0098166667,21.3901833333
2008,17,TOR,Roy Hibbert,44.9448,24.5110622222,20.4337377778
1996,2,TOR,Marcus Camby,81.6,61.798640377,19.801359623
2000,21,TOR,Morris Peterson,35.7,26.8868296429,8.8131703571
2006,35,TOR,P.J. Tucker,4.8792857143,4.9488992857,-0.0696135714
2005,58,TOR,Uros Slokar,0.1,1.325,-1.225
2000,46,TOR,DeeAndre Hulett,0,3.3440125,-3.3440125
2003,52,TOR,Remon Van de Hare,0,3.74055,-3.74055
2006,56,TOR,Edin Bavcic,0,4.2750333333,-4.2750333333
1995,35,TOR,Jimmy King,0,4.9488992857,-4.9488992857
2004,39,TOR,Albert Miralles,0,5.4598025,-5.4598025
2009,9,TOR,DeMar DeRozan,38.896,45.0857644444,-6.1897644444
2005,41,TOR,Roko Ukic,-0.2,7.735175,-7.935175
2005,16,TOR,Joey Graham,7.8,16.8012475,-9.0012475
1998,47,TOR,Tyson Wheeler,0.1,9.7957542857,-9.6957542857
2002,20,TOR,Kareem Rush,1.7,13.1228166667,-11.4228166667
2005,7,TOR,Charlie Villanueva,21,34.0098166667,-13.0098166667
1999,12,TOR,Aleksandar Radojevic,-0.4,16.97208,-17.37208
2001,17,TOR,Michael Bradley,2,24.5110622222,-22.5110622222
2004,8,TOR,Rafael Araujo,-0.4,25.5308821429,-25.9308821429
2006,1,TOR,Andrea Bargnani,27.5108571429,77.4647361905,-49.9538790476
1999,5,TOR,Jonathan Bender,3.8,59.0318266667,-55.2318266667
1990,2,SEA/OKC,Gary Payton,145.5,61.798640377,83.701359623
1998,32,SEA/OKC,Rashard Lewis,89.9,7.317525,82.582475
2007,2,SEA/OKC,Kevin Durant,132.9173333333,61.798640377,71.1186929563
2009,3,SEA/OKC,James Harden,99.008,60.7732833333,38.2347166667
2007,31,SEA/OKC,Carl Landry,38.709,6.46287,32.24613
1992,17,SEA/OKC,Doug Christie,55.7,24.5110622222,31.1889377778
1999,13,SEA/OKC,Corey Maggette,62.2,34.6501532143,27.5498467857
2008,24,SEA/OKC,Serge Ibaka,53.418,26.1274083333,27.2905916667
2008,4,SEA/OKC,Russell Westbrook,82.4704,60.0890666667,22.3813333333
2003,12,SEA/OKC,Nick Collison,37.9,16.97208,20.92792
2003,14,SEA/OKC,Luke Ridnour,35.2,15.9775807143,19.2224192857
1993,23,SEA/OKC,Ervin Johnson,37.8,18.6894933333,19.1105066667
1997,54,SEA/OKC,Mark Blount,18.8,2.71,16.09
2007,35,SEA/OKC,Glen Davis,19.3545,4.9488992857,14.4056007143
2001,39,SEA/OKC,Earl Watson,19.2,5.4598025,13.7401975
1997,23,SEA/OKC,Bobby Jackson,31.4,18.6894933333,12.7105066667
2001,41,SEA/OKC,Bobby Simmons,20.1,7.735175,12.364825
1990,38,SEA/OKC,Jud Buechler,16.5,5.2843166667,11.2156833333
2001,12,SEA/OKC,Vladimir Radmanovic,26.5,16.97208,9.52792
1994,54,SEA/OKC,Zeljko Rebraca,8.3,2.71,5.59
2003,41,SEA/OKC,Willie Green,12.4,7.735175,4.664825
1998,33,SEA/OKC,Jelani McCoy,5.1,4.9527125,0.1472875
2006,53,SEA/OKC,Yotam Halperin,0,1.132675,-1.132675
1990,53,SEA/OKC,Abdul Shamsid-Deen,0,1.132675,-1.132675
2005,55,SEA/OKC,Lawrence Roberts,2.5,3.6973133333,-1.1973133333
2000,17,SEA/OKC,Desmond Mason,23.1,24.5110622222,-1.4110622222
2008,50,SEA/OKC,DeVon Hardin,0,1.8817125,-1.8817125
1995,54,SEA/OKC,Aurelijius Zukauskas,0,2.71,-2.71
2008,46,SEA/OKC,Trent Plaisted,0,3.3440125,-3.3440125
2008,56,SEA/OKC,Sasha Kaun,0,4.2750333333,-4.2750333333
2005,48,SEA/OKC,Mickael Gelabale,3,7.4612,-4.4612
2006,40,SEA/OKC,Denham Brown,0,4.5327125,-4.5327125
1997,40,SEA/OKC,Eddie Elisma,0,4.5327125,-4.5327125
2004,35,SEA/OKC,Andre Emmett,0.1,4.9488992857,-4.8488992857
1996,35,SEA/OKC,Joseph Blair,0,4.9488992857,-4.9488992857
2000,42,SEA/OKC,Olumide Oyedeji,1.2,6.3600035714,-5.1600035714
1993,42,SEA/OKC,Adonis Jordan,0,6.3600035714,-6.3600035714
1996,57,SEA/OKC,Drew Barry,0.6,7.7666666667,-7.1666666667
2009,25,SEA/OKC,Rodrigue Beaubois,6.012,13.38046,-7.36846
2008,32,SEA/OKC,Walter Sharpe,-0.1,7.317525,-7.417525
2002,48,SEA/OKC,Peter Fehse,0,7.4612,-7.4612
1998,27,SEA/OKC,Vladimir Stepania,5.2,12.8520675,-7.6520675
2004,41,SEA/OKC,David Young,0,7.735175,-7.735175
2005,25,SEA/OKC,Johan Petro,5.5,13.38046,-7.88046
2000,47,SEA/OKC,Josip Sesar,0,9.7957542857,-9.7957542857
1996,47,SEA/OKC,Ron Riley,0,9.7957542857,-9.7957542857
1994,11,SEA/OKC,Carlos Rogers,11.1,21.2969092857,-10.1969092857
1994,37,SEA/OKC,Dontonio Wingfield,1.8,13.372155,-11.572155
1992,45,SEA/OKC,Chris King,1,13.12512,-12.12512
1996,45,SEA/OKC,Joe Vogel,0,13.12512,-13.12512
2004,12,SEA/OKC,Robert Swift,1.7,16.97208,-15.27208
1991,14,SEA/OKC,Rich King,0.2,15.9775807143,-15.7775807143
1995,26,SEA/OKC,Sherell Ford,0.4,18.3573122222,-17.9573122222
2006,10,SEA/OKC,Mouhamed Sene,0.3,44.26679125,-43.96679125
1997,1,SAS,Tim Duncan,185.5,77.4647361905,108.0352638095
1999,57,SAS,Manu Ginobili,89.5,7.7666666667,81.7333333333
2001,28,SAS,Tony Parker,92.1,13.18575,78.91425
2008,26,SAS,George Hill,55.9968,18.3573122222,37.6394877778
2002,55,SAS,Luis Scola,35.6,3.6973133333,31.9026866667
2003,28,SAS,Leandro Barbosa,31.5,13.18575,18.31425
2002,26,SAS,John Salmons,32.4,18.3573122222,14.0426877778
2008,45,SAS,Goran Dragic,25.5024,13.12512,12.37728
2004,28,SAS,Beno Udrih,25.2,13.18575,12.01425
1993,47,SAS,Chris Whitney,21.2,9.7957542857,11.4042457143
2009,37,SAS,DeJuan Blair,21.2925,13.372155,7.920345
1990,43,SAS,Tony Massenburg,15.6,11.234075,4.365925
2007,28,SAS,Tiago Splitter,16.9,13.18575,3.71425
1992,18,SAS,Tracy Murray,24.1,20.8369475,3.2630525
2009,53,SAS,Nando De Colo,1.7535,1.132675,0.620825
2006,59,SAS,Damir Markota,-0.2,-0.0666666667,-0.1333333333
2007,58,SAS,Giorgos Printezis,0,1.325,-1.325
1990,54,SAS,Sean Higgins,0.4,2.71,-2.31
2000,54,SAS,Corey Hightower,0,2.71,-2.71
1991,49,SAS,Greg Sutton,1,4.02,-3.02
1998,52,SAS,Derrick Dial,0.6,3.74055,-3.14055
2009,51,SAS,Jack McClinton,0,3.405,-3.405
1992,44,SAS,Henry Williams,0,3.6122125,-3.6122125
2001,55,SAS,Robertas Javtokas,0,3.6973133333,-3.6973133333
2004,52,SAS,Romain Sato,0,3.74055,-3.74055
2005,28,SAS,Ian Mahinmi,9,13.18575,-4.18575
2002,56,SAS,Randy Holcomb,0,4.2750333333,-4.2750333333
2007,33,SAS,Marcus Williams,-0.1,4.9527125,-5.0527125
2000,41,SAS,Chris Carrawell,0,7.735175,-7.735175
2008,57,SAS,James Gist,0,7.7666666667,-7.7666666667
2004,57,SAS,Sergei Karaulov,0,7.7666666667,-7.7666666667
2001,57,SAS,Bryan Bracey,0,7.7666666667,-7.7666666667
1994,22,SAS,Bill Curley,1.6,11.41665875,-9.81665875
1995,29,SAS,Cory Alexander,3,14.0750425,-11.0750425
